0,1,2
-5.334179114,-1,30713
35.94586297,-1,27549
22.97460945,-1,32939
82.38477032,1,35172
-11.25607178,-1,62616
8.868975609,1,44207
50.41544004,1,41511
-49.18582067,1,32659
-3.834321377,-1,47282
14.27030027,-1,25252
-2.424520759,1,35047
80.55174562,1,57915
-26.48096375,-1,70259
-16.67689101,1,36326
66.3589711,1,37375
-1.999900007,-1,85591
-17.48824712,1,62497
18.90610047,1,32331
3.367385413,1,39293
91.21724736,1,39141
-12.88280775,-1,51014
-27.21694346,-1,38055
-29.72571665,1,30795
-7.507573206,-1,28517
33.36570082,1,29255
24.85977001,-1,29059
1.062390755,-1,16998
-10.95410124,1,28268
16.30332588,1,30416
88.07294359,-1,26511
-38.20267678,-1,42805
4.868447488,1,40820
4.440682683,-1,37147
-3.920406602,1,71852
215.9526532,1,36177
-73.49997902,-1,73805
325.1631542,-1,52629
-251.8104577,-1,48969
17.23186656,-1,39167
44.91086073,1,34958
182.97359,-1,36547
-124.962578,-1,55287
-6.639048455,-1,35244
10.45442113,-1,36159
162.8765454,1,31707
-70.40779978,-1,60195
-1.662335622,1,45838
-5.077645512,-1,39182
101.6587951,-1,28854
19.25470409,-1,32934
139.1207779,-1,46577
-42.77643025,1,57298
5.65684934,-1,50833
136.3012793,-1,32929
156.6204749,-1,37558
-148.7142123,1,82837
-5.941678885,1,37990
6.038532129,1,47123
32.52557833,-1,44156
21.32422997,-1,40572
41.24866604,1,29010
-72.55426727,1,24278
2.644533763,1,40170
64.30360984,-1,28907
-4.957078251,-1,32474
-23.61206584,1,27806
16.54055414,1,24521
15.32456932,-1,18078
150.4762137,1,30548
-113.4721287,-1,35969
-14.90607793,-1,41808
1.939630692,1,21743
-5.285638819,-1,23067
75.20962115,1,20913
-45.28864554,-1,42171
25.64056272,-1,20683
85.78944777,-1,25237
-0.129554141,-1,55001
89.89940201,1,47336
-56.25310816,-1,45248
-1.867055481,1,39085
-20.726382,-1,29685
-1.416067353,-1,34485
0.615622152,1,23817
2.650974728,-1,34570
148.1791573,-1,21696
-4.295446846,-1,34997
11.23811849,1,59939
101.7995838,1,46574
-81.59333618,-1,48852
-10.7694883,1,52249
-4.358169638,-1,20675
-6.86666317,1,27357
41.83472303,-1,26090
-22.8979431,1,48016
12.86305465,-1,32488
15.80401511,-1,27404
-0.103317784,1,33788
54.9509788,1,58980
-35.91399512,-1,30179
13.85136604,-1,21540
23.37640989,1,28983
-3.962230745,-1,42370
58.73595848,1,29240
-16.9279216,-1,21202
91.83268182,1,19496
-32.90804273,1,41157
1.635765286,1,47713
33.66598975,1,40900
8.562309179,1,29112
-3.832012263,-1,37858
-23.79029835,1,48221
-3.2364844,-1,27519
15.59006584,1,42617
84.69745375,-1,30639
-33.34080958,1,72287
-0.72794302,-1,40508
68.79004559,1,35089
-28.20165752,-1,82745
23.5352916,-1,40222
55.44139388,1,63098
8.723366975,-1,91581
29.99476159,1,54472
14.53568646,-1,35607
16.74968786,-1,26393
56.25123487,1,43077
0.631175247,1,52156
35.3700256,-1,76199
495.2393309,-1,73108
-274.1820371,-1,123112
-33.13740558,-1,76112
43.68147882,-1,75568
1977.21573,-1,55327
-1117.04902,1,49076
-672.4378808,1,204396
-57.94130165,1,96884
24.87287924,-1,98106
79.43417359,-1,89156
-35.10770988,1,75517
-17.44054081,1,45566
2.161835574,-1,38107
-7.352390868,-1,33763
155.9774952,1,24336
-69.33624074,-1,67824
-4.361970894,1,66429
-32.05139519,1,41766
-1.488469952,1,30833
57.26797739,-1,28938
-21.26397288,1,36179
